,Date,MetaData,raw_text,text
468,Fri Feb 01 10:20:00 +0000 2019,"{'hashtags': [{'text': 'BudgetWithMint', 'indices': [0, 15]}, {'text': 'Budget2019', 'indices': [95, 106]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/BjwApih3Z0', 'expanded_url': 'https://twitter.com/i/web/status/1091279994246950912', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [108, 131]}]}","#BudgetWithMint | Earlier only foreign films enjoyed the privilege of single window clearance

#Budget2019… https://t.co/BjwApih3Z0","#BudgetWithMint | Earlier only foreign films enjoyed the privilege of single window clearance

#Budget2019
#BudgetSession2019
#BudgetForNewIndiahttps://mintne.ws/2G1OBNw "
469,Fri Feb 01 10:19:14 +0000 2019,"{'hashtags': [{'text': 'BudgetWithMint', 'indices': [0, 15]}, {'text': 'Budget2019', 'indices': [90, 101]}], 'symbols': [], 'user_mentions': [{'screen_name': 'ArvindKejriwal', 'name': 'Arvind Kejriwal', 'id': 405427035, 'id_str': '405427035', 'indices': [71, 86]}], 'urls': [{'url': 'https://t.co/c70RhZ1Cf4', 'expanded_url': 'https://twitter.com/i/web/status/1091279800965058561', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}","#BudgetWithMint | ""Delhi continues to be on its own financially,"" says @ArvindKejriwal on #Budget2019 

Follow live… https://t.co/c70RhZ1Cf4","#BudgetWithMint | ""Delhi continues to be on its own financially,"" says @ArvindKejriwal on #Budget2019 

Follow live updates: https://goo.gl/mwnb6U 
#BudgetSession2019
#BudgetForNewIndiapic.twitter.com/izdN2Lt6Ns"
470,Fri Feb 01 10:16:27 +0000 2019,"{'hashtags': [{'text': 'BudgetWithMint', 'indices': [0, 15]}], 'symbols': [], 'user_mentions': [{'screen_name': 'narendramodi', 'name': 'Narendra Modi', 'id': 18839785, 'id_str': '18839785', 'indices': [92, 105]}], 'urls': [{'url': 'https://t.co/Bl8tZXY6pO', 'expanded_url': 'https://twitter.com/i/web/status/1091279101019607040', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [110, 133]}]}","#BudgetWithMint | ""It (budget) will empower the people of the country,"" says Prime Minister @narendramodi on… https://t.co/Bl8tZXY6pO","#BudgetWithMint | ""It (budget) will empower the people of the country,"" says Prime Minister @narendramodi on #Budget2019

Follow live updates: https://goo.gl/mwnb6U 
#BudgetSession2019
#BudgetForNewIndiapic.twitter.com/LsaUU1FF6G"
471,Fri Feb 01 10:12:02 +0000 2019,"{'hashtags': [{'text': 'BudgetWithMint', 'indices': [0, 15]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/2h96fEfREX', 'expanded_url': 'https://twitter.com/i/web/status/1091277989533310977', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [104, 127]}]}","#BudgetWithMint | ""The PM Shram Yogi Man Dhan Yojana will strengthen their lives,"" says Prime Minister… https://t.co/2h96fEfREX","#BudgetWithMint | ""The PM Shram Yogi Man Dhan Yojana will strengthen their lives,"" says Prime Minister @narendramodi 

Follow live updates: https://goo.gl/mwnb6U 
#Budget2019
#BudgetSession2019
#BudgetForNewIndiapic.twitter.com/2VrvlljY3l"
472,Fri Feb 01 10:10:00 +0000 2019,"{'hashtags': [{'text': 'BudgetWithMint', 'indices': [0, 15]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/r9SQx2UTl3', 'expanded_url': 'https://twitter.com/i/web/status/1091277477727547394', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]}",#BudgetWithMint | Ujjwala is one of the government's flagship pro-poor schemes and is considered the equivalent of… https://t.co/r9SQx2UTl3,"#BudgetWithMint | Ujjwala is one of the government's flagship pro-poor schemes and is considered the equivalent of the previous Congress-led UPA regime’s rural jobs scheme.
#Budget2019
#BudgetSession2019
#BudgetForNewIndiahttps://mintne.ws/2D01uUl "
473,Fri Feb 01 10:09:01 +0000 2019,"{'hashtags': [{'text': 'BudgetWithMint', 'indices': [0, 15]}, {'text': 'BudgetForNewIndia', 'indices': [89, 107]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/Tgo927a3uL', 'expanded_url': 'https://twitter.com/i/web/status/1091277230599168003', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]}","#BudgetWithMint | ""I congratulate the middle class for the relief in taxes thanks to the #BudgetForNewIndia,"" says… https://t.co/Tgo927a3uL","#BudgetWithMint | ""I congratulate the middle class for the relief in taxes thanks to the #BudgetForNewIndia,"" says Prime Minister @narendramodi 

Follow live updates: https://goo.gl/mwnb6U 
#Budget2019
#BudgetSession2019
#BudgetForNewIndiapic.twitter.com/OZ0KrT7FcB"
474,Fri Feb 01 10:06:34 +0000 2019,"{'hashtags': [{'text': 'BudgetWithMint', 'indices': [0, 15]}, {'text': 'Budget2019', 'indices': [43, 54]}], 'symbols': [], 'user_mentions': [{'screen_name': 'narendramodi', 'name': 'Narendra Modi', 'id': 18839785, 'id_str': '18839785', 'indices': [21, 34]}], 'urls': [{'url': 'https://t.co/WRf6cHTpaU', 'expanded_url': 'https://goo.gl/mwnb6U', 'display_url': 'goo.gl/mwnb6U', 'indices': [77, 100]}, {'url': 'https://t.co/eAlhKUjoKY', 'expanded_url': 'https://twitter.com/i/web/status/1091276614472593408', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [102, 125]}]}","#BudgetWithMint | PM @narendramodi praises #Budget2019

Follow live updates: https://t.co/WRf6cHTpaU… https://t.co/eAlhKUjoKY","#BudgetWithMint | PM @narendramodi praises #Budget2019

Follow live updates: https://goo.gl/mwnb6U 
#BudgetSession2019
#BudgetForNewIndiapic.twitter.com/shGVJUjvlH"
475,Fri Feb 01 10:04:11 +0000 2019,"{'hashtags': [{'text': 'BudgetWithMint', 'indices': [0, 15]}, {'text': 'budget', 'indices': [49, 56]}], 'symbols': [], 'user_mentions': [{'screen_name': 'narendramodi', 'name': 'Narendra Modi', 'id': 18839785, 'id_str': '18839785', 'indices': [79, 92]}], 'urls': [{'url': 'https://t.co/Ox4Dzht26X', 'expanded_url': 'https://twitter.com/i/web/status/1091276012665458688', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}","#BudgetWithMint | ""This is just a trailer of the #budget,"" says Prime Minister @narendramodi 

Follow live updates:… https://t.co/Ox4Dzht26X","#BudgetWithMint | ""This is just a trailer of the #budget,"" says Prime Minister @narendramodi 

Follow live updates: https://goo.gl/mwnb6U 
#Budget2019
#BudgetSession2019
#BudgetForNewIndiapic.twitter.com/1ciBbYqwSX"
476,Fri Feb 01 10:00:00 +0000 2019,"{'hashtags': [{'text': 'BudgetWithMint', 'indices': [0, 15]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/QWlpaz7ceO', 'expanded_url': 'https://twitter.com/i/web/status/1091274963468709888', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",#BudgetWithMint | State Bank of India beat expectations and posted its highest quarterly profit in nearly seven yea… https://t.co/QWlpaz7ceO,"#BudgetWithMint | State Bank of India beat expectations and posted its highest quarterly profit in nearly seven years on Friday.

#Budget2019
#BudgetSession2019
#BudgetForNewIndiahttps://mintne.ws/2CYL8vi "
477,Fri Feb 01 09:50:00 +0000 2019,"{'hashtags': [{'text': 'BudgetWithMint', 'indices': [0, 15]}, {'text': 'Budget2019', 'indices': [104, 115]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/lXlhWquZ3g', 'expanded_url': 'https://twitter.com/i/web/status/1091272444495638528', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}","#BudgetWithMint | The rebate under Section 87A of the Income tax Act, 1961, has been raised to ₹12,500

#Budget2019… https://t.co/lXlhWquZ3g","#BudgetWithMint | The rebate under Section 87A of the Income tax Act, 1961, has been raised to ₹12,500

#Budget2019
#BudgetSession2019
#BudgetForNewIndiahttps://mintne.ws/2G2IN6z "
